Species,Crop,      Plant genotype,meanPD,SE,min,max,Number of entries
Prunus persica,Peach, nectarine,var. Frederica,0.41,NA,0.41,0.41,1
Prunus persica,Peach, nectarine,var. Fusador,0.56,NA,0.56,0.56,1
Prunus persica,Peach, nectarine,cv. “Golden Queen”,0.23,NA,0.23,0.23,1
Prunus persica,Peach, nectarine,var. Hale Haven,0.43,NA,0.43,0.43,1
Prunus persica,Peach, nectarine,var. Independence,0.62,NA,0.62,0.62,1
Prunus persica,Peach, nectarine,var. J.H. Hale,0.73,NA,0.73,0.73,1
Prunus persica,Peach, nectarine,var. Jerseyland,0.08,NA,0.08,0.08,1
Prunus persica,Peach, nectarine,var. La Fayette,0.24,NA,0.24,0.24,1
Prunus persica,Peach, nectarine,var. Lexington,0.40,NA,0.40,0.40,1
Prunus persica,Peach, nectarine,var. Loadel,0.38,NA,0.38,0.38,1
Prunus persica,Peach, nectarine,var. Merril Sundance,0.46,NA,0.46,0.46,1
Prunus persica,Peach, nectarine,var. Michelini,0.31,NA,0.31,0.31,1
Prunus persica,Peach, nectarine,var. Morton,0.53,NA,0.53,0.53,1
Prunus persica,Peach, nectarine,var. Nectaheart,0.50,NA,0.50,0.50,1
Prunus persica,Peach, nectarine,var. Nectared 4,0.37,NA,0.37,0.37,1
Prunus persica,Peach, nectarine,var. Nectared 6,0.13,NA,0.13,0.13,1
Prunus persica,Peach, nectarine,var. Nectarose,0.38,NA,0.38,0.38,1
Prunus persica,Peach, nectarine,var. Pocahontas,0.32,NA,0.32,0.32,1
Prunus persica,Peach, nectarine,var. Red June,0.43,NA,0.43,0.43,1
Prunus persica,Peach, nectarine,var. Redchief,0.28,NA,0.28,0.28,1
Prunus persica,Peach, nectarine,var. Redhaven,0.48,NA,0.48,0.48,1
Prunus persica,Peach, nectarine,var. Redtop,0.54,NA,0.54,0.54,1
Prunus persica,Peach, nectarine,var. Redwing,0.53,NA,0.53,0.53,1
Prunus persica,Peach, nectarine,var. Robin,0.59,NA,0.59,0.59,1
Prunus persica,Peach, nectarine,var. Shasta,0.39,NA,0.39,0.39,1
Prunus persica,Peach, nectarine,var. Springcrest,0.36,NA,0.36,0.36,1
Prunus persica,Peach, nectarine,var. Springgold,0.53,NA,0.53,0.53,1
Prunus persica,Peach, nectarine,var. Springtime,0.58,NA,0.58,0.58,1
Prunus persica,Peach, nectarine,var. Starking Delicious,0.25,NA,0.25,0.25,1
Prunus persica,Peach, nectarine,var. Sudanell,0.10,NA,0.10,0.10,1
Prunus persica,Peach, nectarine,var. Suncrest,0.15,NA,0.15,0.15,1
Prunus persica,Peach, nectarine,var. Troubador,0.34,NA,0.34,0.34,1
Prunus persica,Peach, nectarine,var. Vesuvio,0.16,NA,0.16,0.16,1
Psidium guajava,Guava,cv. “Kimju guava”,0.08,NA,0.08,0.08,1
Punica granatum,Pomegranate,cv. “Gorch-e-dadashi”,0.39,NA,0.39,0.39,1
Punica granatum,Pomegranate,cv. “Poost ghermez-e-aliaghaei”,0.37,NA,0.37,0.37,1
Punica granatum,Pomegranate,cv. “Zagh-e-yazdi”,0.44,NA,0.44,0.44,1
Pyrus communis,Pear,cv. “Conference”,0.56,0.42,0.15,0.98,2
Pyrus communis,Pear,cv. “Rocha”,0.96,0.04,0.92,0.99,2
Pyrus communis,Pear,cv. “Sebri”,0.61,NA,0.61,0.61,1
Pyrus communis,Pear,cv. “Shahmiveh”,0.69,NA,0.69,0.69,1
Pyrus communis,Pear,cv. “Tanzi”,0.57,NA,0.57,0.57,1
Ribes uva-crispa,Gooseberry ,cv. “White Triumph”,0.27,NA,0.27,0.27,1
Ribes uva-crispa,Gooseberry ,cv. “Lady Delamere”,0.27,NA,0.27,0.27,1
Ribes uva-crispa,Gooseberry ,cv. “Resistenta”,0.65,NA,0.65,0.65,1
Ribes uva-crispa,Gooseberry ,cv. “Shanon”,0.36,NA,0.36,0.36,1
Ribes uva-crispa,Gooseberry ,cv. “ Careless”,0.45,0.07,0.35,0.64,3
Ribes rubrum,Currant,cv. “Rovada”,0.42,NA,0.42,0.42,1
Rosa multiflora,Rose hip,clone “5548”,1.00,NA,1.00,1.00,1
Rosa multiflora,Rose hip,clone “5678”,1.00,NA,1.00,1.00,1
Rosa multiflora,Rose hip,clone “5679”,1.00,NA,1.00,1.00,1
Rosa multiflora,Rose hip,clone “9246”,0.99,NA,0.99,0.99,1
Rosa multiflora,Rose hip,clone “9247”,0.99,NA,0.99,0.99,1
Rosa multiflora,Rose hip,clone “9248”,1.00,NA,1.00,1.00,1
Rosa multiflora,Rose hip,clone “9249”,1.00,NA,1.00,1.00,1
Rosa multiflora,Rose hip,clone “9257”,1.00,NA,1.00,1.00,1
Rubus fruticosus,Blackberry,cv. “Black Satin”,0.51,NA,0.51,0.51,1
Rubus fruticosus,Blackberry,cv. “Hull Thornless”,0.39,NA,0.39,0.39,1
Rubus idaeus,Raspberry,cv. “Cowichan”,0.69,0.01,0.69,0.69,1
Rubus idaeus,Raspberry,cv. “La Amelia”,0.07,NA,0.07,0.07,1
Rubus idaeus,Raspberry,cv. “Latham”,0.66,0.01,0.65,0.66,2
Rubus idaeus,Raspberry,cv. “Polka”,0.59,NA,0.59,0.59,1
Rubus idaeus,Raspberry,cv. “Royalty”,0.57,0.07,0.45,0.70,3
Selenicereus undatus,White-fleshed pitaya,cv. “VN White”,0.22,NA,0.22,0.22,1
Selenicereus spp.,Red-peel pitaya,cv. “Chaozhou 5”,1.00,NA,1.00,1.00,1
Selenicereus spp.,Red-peel pitaya,cv. “F11”,1.00,NA,1.00,1.00,1
Selenicereus spp.,Red-peel pitaya,cv. “Orejona”,1.00,NA,1.00,1.00,1
Sesamum indicum,Sesame seed,cv. “CNP G2”,0.01,NA,0.01,0.01,1
Sesamum indicum,Sesame seed,var. S-42,0.49,NA,0.49,0.49,1
Solanum lycopersicum,Tomato,var.  Lakshmi 5005,0.00,NA,0.00,0.00,1
Solanum lycopersicum,Tomato,var. NS 25,0.52,NA,0.52,0.52,1
Solanum lycopersicum,Tomato,var. SunGold,0.28,NA,0.28,0.28,1
Solanum melongena,Eggplant,var. Aruki 25,0.78,NA,0.78,0.78,1
Solanum melongena,Eggplant,var. Kathri 25,0.76,NA,0.76,0.76,1
Solanum melongena,Eggplant,cv. “Poli”,0.87,0.07,0.74,1.00,4
Solanum melongena,Eggplant,var. Shiva,0.81,0.03,0.77,0.88,3
Spondias mombin,Hog plum,cv. “Lagoa Redonda”,0.78,NA,0.78,0.78,1
Trichosanthes cucumerina,Snake gourd,var. Bhuvan,0.92,NA,0.92,0.92,1
Trichosanthes cucumerina,Snake gourd,var. Lakshmi 7,0.73,NA,0.73,0.73,1
Trichosanthes cucumerina,Snake gourd,var. S25,1.00,0.00,1.00,1.00,2
Trichosanthes dioica,Pointed gourd,cv. “Damodar”,1.00,0.00,1.00,1.00,2
Vaccinium corymbosum,Highbush blueberry,cv. “Bluecrop”,0.47,0.07,0.33,0.64,5
Vaccinium corymbosum,Highbush blueberry,cv. “Duke”,0.46,0.12,0.34,0.58,2
Vaccinium corymbosum,Highbush blueberry,cv. “Emerald”,0.76,NA,0.76,0.76,1
Vaccinium corymbosum,Highbush blueberry,cv. “Liberty”,0.53,0.07,0.34,0.80,6
Vaccinium corymbosum,Highbush blueberry,cv. “Northland”,0.66,0.05,0.61,0.70,2
Vaccinium corymbosum,Highbush blueberry,cv. “Patriot”,0.31,0.03,0.28,0.33,2
Vaccinium macrocarpon,Cranberry,cv. “Stevens”,0.58,NA,0.58,0.58,1
Vicia faba,Broad bean,cv. “Tiffany”,0.05,0.03,0.02,0.08,2
Vigna subterranea,Bambara bean,var. Local Cream,0.90,NA,0.90,0.90,1
Vigna subterranea,Bambara bean,var. Local Red,0.85,NA,0.90,0.85,1
Vigna unguiculata,Cowpea,cv. “BR3-Tracuateua”,0.04,NA,0.04,0.04,1
Vigna unguiculata,Cowpea,cv. “Ken Kunde”,0.32,0.10,0.21,0.42,2
Vitellaria paradoxa,Karite nut,subs. paradoxa,0.31,0.22,0.08,0.96,4
